Name	Drvid	Team	IRating	SR	Flag	DriverRank	FairnessRating	ErstesRennen	LetztesRennen	LetztePlatzierung	DurchschnittPlatzierung	Poles	Rennen	Finish	Quote	Titel	HeisseEisenTitel	Distanz	FuehrungsKm	Incidents	RawPunkte	Punkte	Strafpunkte	PunkteProRennen	BestQuali	BestErgebnis	Siege	Podium	Top5	Top10	Top15	Top20	CleanestDriver	HardCharger	SchnellsteRunde	SeasonPosition	License	RankValue	IsCurrentChamp	IsCurrentHeChamp	
Martin Bauermann	41044	RMD Motorsport	1749	2,39	DE	BronzePlus	0,9154	1/7/2019 - Interlagos Grand Prix	3/16/2020 - Okayama Full	20	14,3	0	30	26	87	0	0	2206,931	0	222	291	282	-9	9	9	4	0	0	1	6	17	25	1	3	0	0	Class A	2	False	False	
Andrea Aymon	36682	Lapped Turtles	4613	4,87	CH	Gold	0,8072	2/12/2018 - Mazda Raceway Laguna Seca Full Course	3/16/2020 - Okayama Full	22	5,8	5	38	37	97	0	0	2715,917	273,671	223	738	723	-15	19	1	1	4	14	25	31	34	36	4	0	9	0	Class A	5	False	False	
Willi Schwabauer	45803	-	2058	2,66	DE	BronzePlus	0,959	9/16/2019 - Summit Point	3/16/2020 - Okayama Full	23	11,9	0	14	13	93	0	0	1063,433	0	97	190	184	-6	13	7	5	0	0	2	8	10	11	0	3	0	0	Class A	2	False	False	
Christian Siebrecht	45802	-	1936	3,58	DE	Bronze	1,0542	9/16/2019 - Summit Point	3/2/2020 - Silverstone National	12	16,6	0	16	16	100	0	0	1262,287	0	73	163	151	-12	9	11	9	0	0	0	2	8	12	1	3	0	0	Class B	1	False	False	
Djeijn Dobric	47299	Speedworld Junior Team	0	2,88	AT		100	12/16/2019 - Summit Point	3/2/2020 - Silverstone National	15	27	0	2	2	100	0	0	194,626	0	19	11	7	-4	3	12	15	0	0	0	0	1	1	0	0	0	0	Rookie	0	False	False	
Simon Mayer	47849	-	2188	3,35			100	1/27/2020 - Oran Park Moto	3/2/2020 - Silverstone National	19	17,2	0	4	4	100	0	0	285,814	0	27	30	29	-1	7	17	11	0	0	0	0	2	3	0	1	0	0	Class C	0	False	False	
Tim Berti	25941	SimRC.de	5102	4,84	DE	Platin	0,2914	9/25/2017 - Silverstone Circuit National	3/2/2020 - Silverstone National	22	3,9	10	37	35	95	1	0	2631,082	577,207	138	848	847	-1	22	1	1	10	26	27	31	33	36	13	1	7	0	Class A	9	False	False	
Patrick Jung	27515	SimRC.de	3063	3,12	DE		100	5/7/2018 - Circuit de Spa-Francorchamps Classic Pits	3/2/2020 - Silverstone National	23	20,7	0	4	2	50	0	0	212,343	0	49	23	16	-7	4	11	17	0	0	0	0	0	1	0	0	0	0	Class A	0	False	False	
Markus Feirer	48435	-	1342	4,99	DE		100	3/2/2020 - Silverstone National	3/2/2020 - Silverstone National	26	26	0	1	1	100	0	0	118,71	0	6	7	-5	-12	-5	8	26	0	0	0	0	0	0	0	0	0	0	Class C	0	False	False	
Patrick R Kessler	37385	SimRC.de	5107	4,99	CH		0,5619	5/7/2018 - Circuit de Spa-Francorchamps Classic Pits	2/24/2020 - Barcelona Historic	11	18,4	0	7	7	100	0	0	433,972	0	14	53	50	-3	7	14	11	0	0	0	0	2	4	4	0	0	0	Class A	0	False	False	
